br,AP
taa,t3 aa3
ni,n3 i3
tap,t3 ap
tyut,t3 yut
laak,l3 aak
poi,p3 oi
keng,k3 eng3
gep,g3 ep
fit,f3 it
peng,p3 eng3
tam,t3 am
jeng,j3 eng3
deu,d3 eu
cet,c3 et
faak,f3 aak
kaan,k3 aan
pet,p3 et
pek,p3 ek
bak,b3 ak
pot,p3 ot
zem,z3 em
kat,k3 at
aak,aak
lek,l3 ek
goe,g3 oe
hek,h ek
ko,k3 o3
gi,g3 i3
ma,m3 a3
nat,n3 at
be,b3 e3
ngak,NG3 ak
gak,g3 ak
zeu,z3 eu
deot,d3 eot
bi,b3 i3
daak,d3 aak
jaang,j3 aang
hi,h3 i3
mi,m3 i3
jo,j3 o3
jou,j3 ou
hng,h3 ng3
ngang,NG3 ang3
om,om
toe,t3 oe
bek,b3 ek
nget,NG3 et
koe,k3 oe
wi,w3 i3
kip,k3 ip
kep,k3 ep
haat,h3 aat
gut,g3 ut
bon,b3 on
de,d3 e3
ge,g3 e3
ik,ik
lu,l3 u3
hm,h3 m
sep,s3 ep
nan,n3 an3
let,l3 et
ngung,NG3 ung
fang,f3 ang3
hit,h3 it
fing,f3 ing3
gwak,gw ak
met,m3 et
leu,l3 eu
tek,t3 ek
fik,f3 ik
mu,m3 u3
gwaak,gw aak
kik,k3 ik
at,at
ngaap,NG3 aap
lat,l3 at
geot,g3 eot
peu,p3 eu
son,s3 on
kaam,k3 am
ei3,ei3
det,d3 et
tet,t3 et
loe,l3 oe
soe,s3 oe
fiu,f3 iu3
gwei3,gw ei3
ki,k3 i3
fi,f3 i3
lem,l3 em
mon,m3 on3
aam,aam
noek,n3 oek
kem,k3 em
